Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2010;1;2010-01-31;Contrat de plus d'un mois;CDI;294793;239750
2010;1;2010-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;194579;317586
2010;1;2010-02-28;Contrat de plus d'un mois;CDI;214423;243494
2010;3;2010-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;236988;332528
2010;3;2010-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;546768;328229
2010;4;2010-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;334420;330122
2010;4;2010-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;285685;333741
2011;1;2011-02-28;Contrat de plus d'un mois;CDI;245619;280788
2011;2;2011-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;315646;351463
2011;2;2011-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;315986;347652
2011;2;2011-05-31;Contrat de plus d'un mois;CDI;269501;291148
2011;2;2011-06-30;Contrat de plus d'un mois;CDI;254984;284969
2011;3;2011-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;580507;344665
2011;3;2011-09-30;Contrat de plus d'un mois;CDI;434065;291338
2011;4;2011-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;347562;338817
2012;1;2012-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;208660;323914
2012;1;2012-03-31;Contrat de plus d'un mois;CDI;260880;275643
2012;2;2012-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;309937;331342
2012;2;2012-06-30;Contrat de plus d'un mois;CDI;238539;261990
2012;3;2012-08-31;Contrat de plus d'un mois;CDI;192494;258413
2012;4;2012-10-31;Contrat de plus d'un mois;CDI;320332;256603
2013;1;2013-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;299089;323244
2013;1;2013-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;253932;323577
2013;1;2013-03-31;Contrat de plus d'un mois;CDI;230338;245633
2013;2;2013-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;300243;314145
2013;3;2013-07-31;Contrat de plus d'un mois;CDI;245905;253755
2013;4;2013-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;271013;332469
2013;4;2013-12-31;Contrat de plus d'un mois;CDI;190073;249200
2014;1;2014-03-31;Contrat de plus d'un mois;CDI;242545;253313
2014;2;2014-06-30;Contrat de plus d'un mois;CDI;231628;255419
2014;3;2014-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;619335;338230
2014;4;2014-10-31;Contrat de plus d'un mois;CDI;289801;243558
2014;4;2014-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;233782;325750
2014;4;2014-12-31;Contrat de plus d'un mois;CDI;188943;245065
2015;1;2015-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;309301;331030
2015;1;2015-02-28;Contrat de plus d'un mois;CDI;213223;244128
2015;1;2015-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271720;325584
2015;2;2015-04-30;Contrat de plus d'un mois;CDI;248634;253596
2015;3;2015-08-31;Contrat de plus d'un mois;CDI;201912;263906
2015;4;2015-10-31;Contrat de plus d'un mois;CDI;304441;260349
2015;4;2015-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;301701;346449
2015;4;2015-11-30;Contrat de plus d'un mois;CDI;258307;262778
2015;4;2015-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;226523;329400
2015;4;2015-12-31;Contrat de plus d'un mois;CDI;196827;261384
2016;1;2016-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233425;352179
2016;2;2016-05-31;Contrat de plus d'un mois;CDI;248026;278182
2016;3;2016-07-31;Contrat de plus d'un mois;CDI;248858;276618
2016;3;2016-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;624914;352516
2016;4;2016-12-31;Contrat de plus d'un mois;CDI;226335;309555
2017;1;2017-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;346146;347656
2017;1;2017-01-31;Contrat de plus d'un mois;CDI;370508;283061
2017;1;2017-02-28;Contrat de plus d'un mois;CDI;256960;291352
2017;2;2017-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;323482;365283
2017;4;2017-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241862;379214
2018;1;2018-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;344842;355321
2018;1;2018-01-31;Contrat de plus d'un mois;CDI;426595;332134
2018;1;2018-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;292807;373072
2018;1;2018-03-31;Contrat de plus d'un mois;CDI;320857;335165
2018;2;2018-04-30;Contrat de plus d'un mois;CDI;328732;337041
2018;2;2018-06-30;Contrat de plus d'un mois;CDI;311323;340765
2018;3;2018-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;651891;360905
2018;4;2018-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;367032;365205
2018;4;2018-11-30;Contrat de plus d'un mois;CDI;339581;343491
2018;4;2018-12-31;Contrat de plus d'un mois;CDI;251924;350071
2019;1;2019-01-31;Contrat de plus d'un mois;CDI;440369;349747
2019;1;2019-03-31;Contrat de plus d'un mois;CDI;338613;354798
2019;2;2019-04-30;Contrat de plus d'un mois;CDI;354017;356782
2019;2;2019-05-31;Contrat de plus d'un mois;CDI;298610;344819
2019;3;2019-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;257128;352296
2019;4;2019-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;310061;374783
2020;1;2020-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;353600;376933
2020;1;2020-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;224298;275503
2020;2;2020-05-31;Contrat de plus d'un mois;CDI;148601;173351
2020;2;2020-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;412429;354402
2020;3;2020-07-31;Contrat de plus d'un mois;CDI;282619;315176
2020;3;2020-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;288689;373432
2020;3;2020-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;696855;356295
2020;4;2020-10-31;Contrat de plus d'un mois;CDI;363307;310353
2021;1;2021-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;320340;345831
2021;1;2021-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271732;335917
2021;2;2021-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;246228;289590
2021;2;2021-04-30;Contrat de plus d'un mois;CDI;287462;302890
2021;2;2021-06-30;Contrat de plus d'un mois;CDI;381657;404793
2021;3;2021-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;607666;402622
2021;3;2021-07-31;Contrat de plus d'un mois;CDI;345907;388764
2021;3;2021-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;803043;412650
2021;3;2021-09-30;Contrat de plus d'un mois;CDI;616713;394101
2022;1;2022-03-31;Contrat de plus d'un mois;CDI;413903;415703
2022;2;2022-04-30;Contrat de plus d'un mois;CDI;397897;424361
2022;2;2022-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;376912;404769
2022;2;2022-06-30;Contrat de plus d'un mois;CDI;384352;425766
2022;3;2022-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;592048;391879
2022;3;2022-07-31;Contrat de plus d'un mois;CDI;361268;408296
2022;3;2022-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;830629;423757
2022;4;2022-12-31;Contrat de plus d'un mois;CDI;303526;426483
2000;1;2000-03-31;Contrat de plus d'un mois;CDI;248032;240090
2000;2;2000-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;407013;312072
2000;3;2000-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;204246;326991
2000;3;2000-08-31;Contrat de plus d'un mois;CDI;195099;288392
2000;3;2000-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;434132;312622
2000;3;2000-09-30;Contrat de plus d'un mois;CDI;362172;265607
2000;4;2000-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;339022;316070
2000;4;2000-10-31;Contrat de plus d'un mois;CDI;382403;296475
2000;4;2000-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;265032;313510
2001;1;2001-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;268525;311340
2001;1;2001-01-31;Contrat de plus d'un mois;CDI;372793;300179
2001;1;2001-02-28;Contrat de plus d'un mois;CDI;283281;301727
2001;2;2001-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;274022;306785
2001;3;2001-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;189135;304497
2002;1;2002-03-31;Contrat de plus d'un mois;CDI;280011;279203
2002;2;2002-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;248746;299295
2002;2;2002-05-31;Contrat de plus d'un mois;CDI;232304;268787
2002;2;2002-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;385011;291895
2002;2;2002-06-30;Contrat de plus d'un mois;CDI;239566;264784
2002;3;2002-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;179269;288770
2002;3;2002-08-31;Contrat de plus d'un mois;CDI;176464;263554
2002;4;2002-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;298641;284453
2002;4;2002-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;232872;289696
2003;1;2003-02-28;Contrat de plus d'un mois;CDI;230834;247885
2003;2;2003-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;235863;277101
2003;2;2003-06-30;Contrat de plus d'un mois;CDI;225454;248863
2003;3;2003-07-31;Contrat de plus d'un mois;CDI;214089;248836
2003;3;2003-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;439694;289945
2003;4;2003-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;302945;294394
2003;4;2003-11-30;Contrat de plus d'un mois;CDI;238317;244275
2003;4;2003-12-31;Contrat de plus d'un mois;CDI;203353;244711
2004;1;2004-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;191954;293803
2004;1;2004-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;250510;294559
2004;2;2004-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;267853;307230
2004;2;2004-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;432786;319775
2004;2;2004-06-30;Contrat de plus d'un mois;CDI;228294;243134
2004;3;2004-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;560694;300308
2004;4;2004-10-31;Contrat de plus d'un mois;CDI;298295;243844
2004;4;2004-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;261181;304633
2004;4;2004-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;214363;307117
2005;1;2005-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;270792;304911
2005;1;2005-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189854;305101
2005;1;2005-02-28;Contrat de plus d'un mois;CDI;227647;248189
2005;1;2005-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248003;310136
2005;1;2005-03-31;Contrat de plus d'un mois;CDI;244199;247538
2005;2;2005-04-30;Contrat de plus d'un mois;CDI;256215;254303
2005;2;2005-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;274620;313759
2005;2;2005-05-31;Contrat de plus d'un mois;CDI;230706;254952
2005;4;2005-10-31;Contrat de plus d'un mois;CDI;327669;262635
2005;4;2005-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;261354;310083
2005;4;2005-11-30;Contrat de plus d'un mois;CDI;264101;265161
2005;4;2005-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;212500;312281
2006;1;2006-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;265078;288731
2006;1;2006-01-31;Contrat de plus d'un mois;CDI;342217;265855
2006;1;2006-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;178356;287878
2006;1;2006-03-31;Contrat de plus d'un mois;CDI;269713;272364
2006;2;2006-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;385556;312975
2006;3;2006-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;618821;326500
2006;3;2006-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;480070;317971
2006;4;2006-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;266437;317203
2006;4;2006-11-30;Contrat de plus d'un mois;CDI;270124;272286
2006;4;2006-12-31;Contrat de plus d'un mois;CDI;214290;283667
2007;1;2007-01-31;Contrat de plus d'un mois;CDI;353260;278041
2007;1;2007-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;196324;318466
2007;2;2007-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;395600;320655
2007;3;2007-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;627442;320355
2007;3;2007-07-31;Contrat de plus d'un mois;CDI;271255;294301
2007;3;2007-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;508840;329982
2007;3;2007-09-30;Contrat de plus d'un mois;CDI;413512;292242
2007;4;2007-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;362475;331190
2007;4;2007-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;225942;328877
2007;4;2007-12-31;Contrat de plus d'un mois;CDI;221586;287231
2008;2;2008-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;277463;298726
2008;2;2008-05-31;Contrat de plus d'un mois;CDI;232752;272384
2008;4;2008-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;326486;313042
2009;1;2009-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;263102;299810
2009;1;2009-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;178951;292138
2009;1;2009-03-31;Contrat de plus d'un mois;CDI;224954;225255
2009;2;2009-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;269032;300439
2009;3;2009-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;544826;310282
2009;3;2009-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;212388;307456
2009;3;2009-09-30;Contrat de plus d'un mois;CDI;343924;230296
2009;4;2009-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;273993;323006
2010;1;2010-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;275674;327335
2010;1;2010-03-31;Contrat de plus d'un mois;CDI;253313;252036
2010;2;2010-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;284682;327923
2010;2;2010-05-31;Contrat de plus d'un mois;CDI;228773;260303
2010;2;2010-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;420609;343613
2010;2;2010-06-30;Contrat de plus d'un mois;CDI;245516;260854
2010;3;2010-07-31;Contrat de plus d'un mois;CDI;223780;249577
2010;3;2010-09-30;Contrat de plus d'un mois;CDI;375466;252681
2010;4;2010-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;220378;313429
2010;4;2010-12-31;Contrat de plus d'un mois;CDI;201953;261756
2011;1;2011-03-31;Contrat de plus d'un mois;CDI;269619;274956
2011;3;2011-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;572467;332976
2011;3;2011-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;264006;374269
2011;3;2011-08-31;Contrat de plus d'un mois;CDI;219480;289755
2011;4;2011-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;280569;333126
2011;4;2011-11-30;Contrat de plus d'un mois;CDI;275719;282677
2011;4;2011-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;228087;335831
2011;4;2011-12-31;Contrat de plus d'un mois;CDI;214474;284141
2012;1;2012-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;314146;330208
2012;2;2012-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;367704;324384
2012;3;2012-07-31;Contrat de plus d'un mois;CDI;249713;261564
2012;4;2012-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;349139;330007
2012;4;2012-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;222741;327589
2012;4;2012-12-31;Contrat de plus d'un mois;CDI;189466;254795
2013;1;2013-01-31;Contrat de plus d'un mois;CDI;316534;250328
2013;1;2013-02-28;Contrat de plus d'un mois;CDI;218623;251493
2013;2;2013-04-30;Contrat de plus d'un mois;CDI;255790;251811
2013;2;2013-05-31;Contrat de plus d'un mois;CDI;210069;247900
2013;2;2013-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;344960;308083
2013;3;2013-08-31;Contrat de plus d'un mois;CDI;185986;251093
2013;4;2013-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;327435;323842
2013;4;2013-11-30;Contrat de plus d'un mois;CDI;236320;252256
2013;4;2013-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;229415;323923
2014;1;2014-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;302699;324375
2014;2;2014-04-30;Contrat de plus d'un mois;CDI;248142;248335
2014;2;2014-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;266656;310095
2014;2;2014-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;389846;345627
2014;4;2014-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;316267;323244
2014;4;2014-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;268683;322720
2015;1;2015-01-31;Contrat de plus d'un mois;CDI;313492;250483
2015;1;2015-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198222;321381
2015;2;2015-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;307422;337033
2015;2;2015-05-31;Contrat de plus d'un mois;CDI;205360;244024
2015;2;2015-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;396696;334564
2015;4;2015-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;318925;336625
2016;1;2016-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;328939;352176
2016;1;2016-01-31;Contrat de plus d'un mois;CDI;336915;270635
2016;1;2016-02-29;Contrat de plus d'un mois;CDI;245683;272210
2016;2;2016-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;313976;349678
2016;3;2016-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;276322;371272
2016;3;2016-08-31;Contrat de plus d'un mois;CDI;219578;285192
2016;4;2016-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;343356;354555
2016;4;2016-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;305974;355956
2016;4;2016-11-30;Contrat de plus d'un mois;CDI;276344;282282
2016;4;2016-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;232717;354009
2017;1;2017-03-31;Contrat de plus d'un mois;CDI;286552;296483
2017;2;2017-04-30;Contrat de plus d'un mois;CDI;286526;301178
2017;3;2017-07-31;Contrat de plus d'un mois;CDI;278207;303066
2017;3;2017-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;259912;357584
2017;3;2017-08-31;Contrat de plus d'un mois;CDI;235642;309955
2017;3;2017-09-30;Contrat de plus d'un mois;CDI;486926;322588
2017;4;2017-12-31;Contrat de plus d'un mois;CDI;245414;349204
2018;1;2018-02-28;Contrat de plus d'un mois;CDI;297304;336430
2018;2;2018-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;334509;363513
2018;3;2018-07-31;Contrat de plus d'un mois;CDI;319205;338239
2018;3;2018-08-31;Contrat de plus d'un mois;CDI;257247;340857
2018;4;2018-10-31;Contrat de plus d'un mois;CDI;429431;350119
2019;1;2019-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;227293;367943
2019;1;2019-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;282955;363834
2019;2;2019-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;354598;380710
2019;3;2019-09-30;Contrat de plus d'un mois;CDI;566799;362634
2019;4;2019-11-30;Contrat de plus d'un mois;CDI;350356;365171
2019;4;2019-12-31;Contrat de plus d'un mois;CDI;262240;354427
2020;1;2020-03-31;Contrat de plus d'un mois;CDI;282365;281517
2020;2;2020-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;86869;101573
2020;2;2020-04-30;Contrat de plus d'un mois;CDI;102208;106829
2020;3;2020-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;557919;361411
2020;3;2020-09-30;Contrat de plus d'un mois;CDI;483443;305853
2020;4;2020-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;353151;375122
2020;4;2020-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;264140;299653
2020;4;2020-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;181481;277942
2020;4;2020-12-31;Contrat de plus d'un mois;CDI;204394;278364
2021;1;2021-01-31;Contrat de plus d'un mois;CDI;371353;305174
2021;1;2021-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;207195;336627
2021;1;2021-02-28;Contrat de plus d'un mois;CDI;255587;290628
2021;2;2021-05-31;Contrat de plus d'un mois;CDI;330291;381571
2021;2;2021-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;498278;420444
2021;4;2021-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;352420;403957
2021;4;2021-11-30;Contrat de plus d'un mois;CDI;418087;414438
2022;1;2022-01-31;Contrat de plus d'un mois;CDI;504710;404626
2022;1;2022-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;304231;390534
2022;2;2022-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;451693;401949
2022;3;2022-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;335646;418876
2022;3;2022-09-30;Contrat de plus d'un mois;CDI;685656;440368
2022;4;2022-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;382254;392120
2022;4;2022-11-30;Contrat de plus d'un mois;CDI;425323;424394
2023;1;2023-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;366756;384401
2023;1;2023-01-31;Contrat de plus d'un mois;CDI;535791;422199
2023;1;2023-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;243429;392442
2023;1;2023-02-28;Contrat de plus d'un mois;CDI;375202;429319
